City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
131,Georgetown,MY,88.9,few clouds,5.4112,100.3354,Cititel Penang
132,Mae Sai,TH,86.45,overcast clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
134,Lorengau,PG,83.48,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
150,Kalmunai,LK,84.22,overcast clouds,7.4167,81.8167,VS Villa
153,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
154,Faanui,PF,80.26,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
155,Harper,LR,79.27,moderate rain,4.375,-7.7169,Screensaver
156,Sokoni,TZ,77.67,light rain,-6.4333,39.55,Ujamaa Beach Resort
159,Bandar-E Lengeh,IR,87.76,clear sky,26.5579,54.8807,کافی نت پارس
166,Bengkulu,ID,82.29,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
167,Champerico,GT,82.35,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
168,Kavieng,PG,83.62,light rain,-2.5744,150.7967,Nusa Island Retreat
169,Kieta,PG,82.83,light rain,-6.2167,155.6333,Uruna Bay Retreat
175,Banda Aceh,ID,82.9,light rain,5.5577,95.3222,Sulthan Hotel International
181,Mahibadhoo,MV,83.77,broken clouds,3.7833,72.9667,Omadhoo Inn
184,Wewak,PG,83.5,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
185,Progreso,MX,82.51,clear sky,21.2833,-89.6667,Playa Linda Hotel
187,Pingliang,CN,83.48,few clouds,35.5392,106.6861,North Gate Hostel
194,Labuhan,ID,85.23,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
195,Buraydah,SA,86.02,clear sky,26.326,43.975,فندق راحة السلام
196,Shu,KZ,77.23,broken clouds,43.5983,73.7614,Shyngyzkhan
200,Tchollire,CM,76.53,overcast clouds,8.4022,14.1698,"Auberge ""l'amicale"""
201,Charters Towers,AU,75.06,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
205,Gladstone,AU,76.78,overcast clouds,-23.85,151.25,Highpoint International
208,Makakilo City,US,78.69,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
211,Tucurui,BR,76.19,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
213,Atambua,ID,82.42,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
215,Mogadishu,SO,77.76,overcast clouds,2.0371,45.3438,Hotel Juba
217,Garoua,CM,81.77,scattered clouds,9.3,13.4,Dreamland Hotel Annexe Bockle
219,Kattivakkam,IN,89.08,broken clouds,13.2167,80.3167,Raj's villa
220,Namatanai,PG,83.75,light rain,-3.6667,152.4333,Namatanai Hotel
221,Sakakah,SA,80.42,overcast clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
223,San Andres,CO,81.39,few clouds,12.5847,-81.7006,Hotel Arena Blanca
229,Pochutla,MX,77.83,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
231,Anyang,CN,83.8,clear sky,36.0994,114.3289,Ibis Anyang Jiefang Ave Hotel
234,Jalu,LY,80.22,clear sky,29.0331,21.5482,صاحبة الفخامة
241,Omboue,GA,75.92,overcast clouds,-1.5746,9.2618,Hotel Olako
243,Kutum,SD,77.13,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
246,Ibra,OM,85.24,few clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
249,Saint George,US,82.26,overcast clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
