City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
178,Gigmoto,PH,2021-05-24 21:39:26,13.7796,124.39,80.98,81,56,4.03
179,Blagoyevo,RU,2021-05-24 21:39:27,63.3667,47.9167,50.52,94,87,8.08
180,Rengo,CL,2021-05-24 21:39:27,-34.4167,-70.8667,66.52,57,0,3.71
181,Saint-Philippe,RE,2021-05-24 21:39:28,-21.3585,55.7679,71.19,77,78,11.56
182,Quixada,BR,2021-05-24 21:39:28,-4.9714,-39.0153,76.21,81,93,4.99
183,Ribeira Grande,PT,2021-05-24 21:39:28,38.5167,-28.7,62.92,73,100,18.48
184,Omsukchan,RU,2021-05-24 21:39:29,62.5333,155.8,35.6,89,100,4.18
185,Ahipara,NZ,2021-05-24 21:39:29,-35.1667,173.1667,58.75,67,100,13.76
186,Abnub,EG,2021-05-24 21:39:29,27.2696,31.1511,79.02,25,0,7.87
187,Uvarovo,RU,2021-05-24 21:39:30,51.9849,42.2615,54.55,80,81,6.22
188,Saint-Francois,FR,2021-05-24 21:39:30,46.4154,3.9054,51.48,66,0,11.5
189,Vanimo,PG,2021-05-24 21:39:31,-2.6741,141.3028,79.52,86,97,3.11
190,Shalakusha,RU,2021-05-24 21:39:31,62.2247,40.2539,47.71,97,100,8.84
191,Palmer,US,2021-05-24 21:39:31,42.1584,-72.3287,72.5,40,40,1.01
192,Touros,BR,2021-05-24 21:39:32,-5.1989,-35.4608,79.7,79,100,13.09
193,Sohag,EG,2021-05-24 21:39:14,26.557,31.6948,84.49,24,0,8.93
194,Grand Forks,US,2021-05-24 21:39:32,47.9417,-97.4337,82.33,23,1,25.32
195,Formosa,AR,2021-05-24 21:39:33,-26.1775,-58.1781,64.38,63,0,4.61
196,Tezu,IN,2021-05-24 21:39:34,27.9167,96.1667,74.73,95,89,4.43
197,Yatou,CN,2021-05-24 21:39:34,37.15,122.3833,53.37,78,36,1.39
198,Acapulco,MX,2021-05-24 21:39:34,16.8634,-99.8901,89.42,53,1,12.41
